"filename", "language", "Markdown", "PHP", "Batch", "Ruby", "JavaScript", "CSS", "Docker", "YAML", "Shell Script", "Properties", "JSON", "MS SQL", "comment", "blank", "total"
"d:\wamp64\www\darkened-hub-dev\environments\dev\console\config\params-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\dev\console\config\test-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\dev\frontend\config\codeception-local.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\wamp64\www\darkened-hub-dev\environments\dev\frontend\config\main-local.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
"d:\wamp64\www\darkened-hub-dev\environments\dev\frontend\config\params-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\dev\frontend\config\test-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\dev\frontend\web\index-test.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 29
"d:\wamp64\www\darkened-hub-dev\environments\dev\frontend\web\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\wamp64\www\darkened-hub-dev\environments\dev\yii_test.bat", "Batch", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 16
"d:\wamp64\www\darkened-hub-dev\environments\index.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 1, 69
"d:\wamp64\www\darkened-hub-dev\environments\prod\backend\config\main-local.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"d:\wamp64\www\darkened-hub-dev\environments\prod\backend\config\params-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\prod\backend\web\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\wamp64\www\darkened-hub-dev\environments\prod\common\config\main-local.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\wamp64\www\darkened-hub-dev\environments\prod\common\config\params-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\prod\console\config\main-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\prod\console\config\params-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\prod\frontend\config\main-local.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"d:\wamp64\www\darkened-hub-dev\environments\prod\frontend\config\params-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\prod\frontend\web\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\wamp64\www\darkened-hub-dev\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 5
"d:\wamp64\www\darkened-hub-dev\frontend\assets\AppAsset.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 25
"d:\wamp64\www\darkened-hub-dev\frontend\codeception.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\wamp64\www\darkened-hub-dev\frontend\config\bootstrap.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\wamp64\www\darkened-hub-dev\frontend\config\main.php", "PHP", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 69
"d:\wamp64\www\darkened-hub-dev\frontend\config\params.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\wamp64\www\darkened-hub-dev\frontend\config\test.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\wamp64\www\darkened-hub-dev\frontend\controllers\AnnouncementController.php", "PHP", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 15, 141
